param begin_PLACE   := 1;
param end_PLACE     := 20;
param begin_CLUSTER := 0;
param end_CLUSTER   := 3;
param begin_DIMENSION := 1;
param end_DIMENSION   := 2;
param instance        := 1;
  
param	Q:= 
0	5
1	5
2	5
3       5;
  
param :	x y :=  
1	100.0000	100.0000
2	100.0000	200.0000
3	100.0000	300.0000
4	100.0000	400.0000
5	100.0000	500.0000
6	100.0000	600.0000
7	200.0000	100.0000
8	200.0000	200.0000
9	200.0000	300.0000
10	200.0000	400.0000
11	200.0000	500.0000
12	200.0000	600.0000
13	300.0000	100.0000
14	300.0000	200.0000
15	300.0000	300.0000
16	300.0000	400.0000
17	300.0000	500.0000
18	400.0000	200.0000
19	400.0000	300.0000
20	400.0000	400.0000;

