param begin_PLACE 	:= 1;
param end_PLACE         := 175;
param begin_CLUSTER     := 0;
param end_CLUSTER 	:= 16;
param begin_DIMENSION   := 1;
param end_DIMENSION     := 2;
param instance          := 3;
  
param	Q:= 
0	1
1	3
2	6
3	6
4	6
5	6
6	6
7	7
8	8
9	8
10	8
11	9
12	9
13	9
14	12
15	29
16	42;
  
param :	x y :=  
1	2107.9122	1039.7635
2	1901.4118	1039.2978
3	2039.6223	1037.9676
4	2070.7721	1138.5378
5	1999.4871	1138.5378
6	1809.5509	1205.8312
7	1809.5509	1131.0971
8	1820.7390	1039.8862
9	1886.1016	1205.8312
10	1886.1016	1131.0971
11	2070.1730	1210.9722
12	1377.3421	2638.6227
13	1570.0965	1033.7328
14	1254.8103	2716.1741
15	1148.6161	2812.0929
16	1148.6161	2714.1333
17	2003.6803	1313.3382
18	1999.4871	1215.7613
19	2004.8784	1389.3645
20	1798.0497	570.6652
21	2077.3614	1385.1740
22	1548.2857	1207.7342
23	735.7478	1152.2742
24	734.8469	1075.7441
25	1144.4923	1281.9282
26	1153.3503	1166.8518
27	1151.8740	1094.5603
28	554.6552	1313.4376
29	473.5689	1317.0390
30	590.6935	1155.8756
31	587.9906	1034.3278
32	587.9906	1086.5483
33	1227.1667	1166.8518
34	1548.8705	1145.1996
35	1308.5061	1037.0789
36	1471.0884	1207.7342
37	1545.3616	1283.1265
38	1471.0884	1283.1265
39	1313.7696	1178.5124
40	1225.6904	1096.0356
41	1312.5999	1249.8136
42	1402.6635	1185.5257
43	1403.2483	1253.3202
44	1254.8103	2816.1746
45	1655.0808	2810.0521
46	1869.5114	2954.9508
47	1481.4941	2814.1338
48	1377.3421	2712.0924
49	1375.2999	2814.1338
50	1763.3172	3059.0330
51	1767.4016	2952.9100
52	1865.4270	3063.1146
53	1969.5790	2954.9508
54	1963.4524	3063.1146
55	1481.4941	2716.1741
56	1353.4672	3068.3847
57	1755.1484	2716.1741
58	1468.5162	3068.3847
59	1464.3326	2957.5937
60	1359.7426	2957.5937
61	1638.7432	2640.6635
62	1485.5785	2640.6635
63	1640.7854	2710.0516
64	1755.1484	2638.6227
65	1753.1062	2810.0521
66	1675.5027	2956.9916
67	1160.8693	3189.6459
68	1265.0213	3191.6867
69	1265.0213	3303.9322
70	1461.0721	3305.9730
71	1358.9623	3305.9730
72	1162.9114	3073.3188
73	1166.9958	2956.9916
74	1260.9369	3069.2371
75	1164.9537	3305.9730
76	1260.9369	2959.0325
77	1358.9623	3189.6459
78	1861.3426	3316.1771
79	1867.4692	3203.9317
80	1965.4946	3314.1363
81	1671.4183	3061.0738
82	1969.5790	3205.9725
83	1671.4183	3308.0138
84	1459.0299	3193.7275
85	1671.4183	3203.9317
86	1767.4016	3203.9317
87	1769.4438	3314.1363
88	510.5082	1160.3774
89	721.5143	700.1880
90	726.9871	519.7076
91	721.5143	774.5679
92	893.3595	741.7532
93	797.0386	572.2110
94	649.2737	773.4740
95	570.4657	700.1880
96	451.1592	775.6617
97	726.9871	600.6503
98	451.1592	702.3757
99	893.3595	868.6365
100	1396.8548	680.4992
101	1396.8548	757.0667
102	1396.8548	617.0576
103	1465.8118	617.0576
104	1465.8118	536.1149
105	1301.6285	680.4992
106	1301.6285	611.5885
107	1304.9122	751.5976
108	1396.8548	824.8836
109	1303.8176	820.5083
110	650.3682	700.1880
111	100.8592	808.4669
112	168.4894	702.7294
113	164.1261	808.4669
114	101.9500	879.3220
115	164.1261	879.3220
116	188.1239	518.5064
117	128.1294	518.5064
118	101.9500	643.8652
119	101.9500	702.7294
120	168.4894	643.8652
121	395.3369	592.9936
122	385.4859	876.2932
123	295.7324	881.7623
124	570.4657	772.3802
125	636.1390	592.9936
126	554.0474	592.9936
127	303.3943	702.3757
128	462.1047	592.9936
129	373.4458	702.3757
130	373.4458	775.6617
131	303.3943	775.6617
132	1465.8118	699.0942
133	122.1950	1146.8721
134	120.3931	1219.8008
135	187.9650	1220.7011
136	72.6423	    1036.1285
137	186.1631	1145.9717
138	1882.4325	885.6195
139	1984.0078	583.7531
140	2025.4865	879.8299
141	77.1471	    1380.9642
142	2095.8994	879.8299
143	281.6647	1036.1285
144	361.8500	1090.1497
145	363.6519	1158.5767
146	365.4538	1036.1285
147	509.6072	1085.6480
148	510.5082	1033.4274
149	280.7637	1157.6763
150	280.7637	1088.3490
151	221.3005	1312.5373
152	393.3836	1317.9394
153	302.3867	1314.3380
154	1984.0078	511.1209
155	1620.1440	737.3779
156	1621.2386	662.9981
157	1642.0352	864.2612
158	1694.5738	738.4718
159	1721.9377	862.0735
160	1573.0782	869.7303
161	1468.0009	784.4122
162	1576.3618	757.0667
163	1575.2673	601.7441
164	1575.2673	684.8745
165	1693.4792	660.8105
166	1985.4191	731.1329
167	1916.9720	728.3123
168	1985.4191	654.2698
169	2063.7451	731.1329
170	2063.7451	654.2698
171	1731.7887	731.9088
172	1733.9778	660.8105
173	1811.1260	731.8381
174	1915.5607	653.5646
175	1811.8316	661.3214;
