param begin_PLACE   := 1;
param end_PLACE     := 174;
param begin_CLUSTER := 0;
param end_CLUSTER   := 25;
param begin_DIMENSION := 1;
param end_DIMENSION   := 2;
param instance      := 4;

param	Q:= 
0	1
1	1
2	1
3	1
4	1
5	3
6	3
7	3
8	3
9	4
10	4
11	6
12	7
13	7
14	7
15	8
16	9
17	9
18	9
19	11
20	11
21	11
22	12
23	12
24	13
25	17;
  
param :	x y :=  
1 474.453	    161.792
2 676.544	    371.324
3 918.187	    370.688
4 684.704	    447.486
5 923.648	    453.973
6 417.109	    601.429
7 605.265	    798.543
8 823.979	    800.768
9 590.507	    884.053
10 828.075	    879.957
11 1125.717	    271.019
12 1428.821	    266.923
13 1449.301	    455.339
14 1696.572	    455.646
15 1707.452	    526.368
16 1718.333	    602.53
17 1453.397	    609.621
18 1454.763	    524.971
19 1406.976	    799.403
20 1860.267	    800.768
21 1917.611	    242.347
22 2196	        244
23 2630.667	    249.333
24 2446.493	    432.332
25 2449.333	    518.667
26 2449.333	    614.667
27 2729.333	    612
28 2726.667	    524
29 2731.323	    432.332
30 3364	        465.333
31 3362.02	    554.403
32 3313.333	    934.667
33 3318.667	    1020
34 3052	        1017.333
35 3049.333	    940
36 2646.667	    934.667
37 2553.333	    809.333
38 2630.667	    1014.667
39 2161.333	    1014.667
40 2161.333	    926.667
41 1775.106	    1032.511
42 1775.106	    920.614
43 1508	        934.667
44 1510.62	    1012.166
45 586.781	    1024.142
46 586.781	    1094.864
47 849.333	    1097.333
48 849.406	    1022.339
49 1932	        1156
50 2172	        1158.667
51 2622.667 	1153.333
52 2932	        1161.333
53 3422.667 	1145.333
54 3420	        1270.667
55 3654.667 	1188
56 4085.938 	809.896
57 4096.354 	971.354
58 5320.313 	513.021
59 5315.104 	429.688
60 5565.104 	429.688
61 5575.521 	518.229
62 5960.938 	315.104
63 5955.729 	424.479
64 5966.187 	513.713
65 6007.813 	606.771
66 6440.104 	419.271
67 6440.104 	315.104
68 6729.126 	300.09
69 6731.92	    369.78
70 7018.229 	283.854
71 7013.021 	372.396
72 7013.021 	466.146
73 5934.896 	872.396
74 5929.688 	971.354
75 5919.271 	1049.479
76 5919.271 	1138.021
77 6414.063 	1148.438
78 6419.271 	1044.271
79 6424.479 	966.146
80 6424.479 	872.396
81 6725.347 	908.733
82 6718.774 	1027.039
83 6716.146 	1127.604
84 6721.354 	1236.979
85 7132.813 	804.688
86 7153.646 	976.563
87 7132.813 	1164.063
88 705.729	    1268.229
89 945.313	    1257.813
90 7442.22	    826.009
91 7409.668 	996.908
92 7408.896 	1073.047
93 7678.373 	1073.047
94 7685.343 	981.649
95 7868.978 	829.862
96 7928.131 	994.176
97 7921.558 	1069.761
98 8194.321 	1073.047
99 8190.918 	996.908
100 8190.918	801.595
101 8695.475	817.871
102 8264.16	    606.283
103 8247.884	467.936
104 8247.884	386.556
105 8500.163	386.556
106 8516.439	476.074
107 9117.77	    159.457
108 9124.342	235.042
109 9390.532	156.171
110 9354.383	379.639
111 9104.625	386.212
112 9104.625	448.651
113 9347.81	    458.51
114 9640.291	843.007
115 9633.718	921.878
116 9321.52	    987.604
117 9314.947	1069.761
118 9037.272	1078.288
119 9045.41	    1192.22
120 9038.899	997.463
121 8677.406	994.176
122 8679.199	1086.426
123 9045.41	    1281.738
124 6297.451	5684.046
125 6552.805	5684.046
126 6301.892	5748.44
127 6552.805	5850.582
128 6304.112	5914.975
129 6548.364	5914.975
130 7021.324	5686.267
131 7278.442	5681.356
132 7030.206	5852.802
133 7276.678	5848.361
134 7030.206	5912.755
135 7276.678	5906.093
136 6312.994	6165.888
137 6312.994	6101.495
138 6572.789	6110.377
139 6572.789	6165.888
140 6319.656	6336.864
141 6583.892	6334.644
142 6999.119	6108.156
143 7274.458	6101.495
144 7001.34	    6270.25
145 7266.998	6275.177
146 7005.781	6336.864
147 7265.576	6341.305
148 7762.909	6275.177
149 7980.567	6274.691
150 7760.741	6347.967
151 7982.787	6352.408
152 7746.379	6088.257
153 7991.791	6084.442
154 7747.418	6165.888
155 7982.787	6161.447
156 7769.622	5932.739
157 7760.741	5861.684
158 7956.142	5861.684
159 7979.075	5931.854
160 8260.346	5859.463
161 8264.787	5934.959
162 8251.464	6085.951
163 8249.244	6154.786
164 7145.993	1040.185
165 9301.802	606.394
166 9650.149	616.252
167 6304.112	5852.802
168 6555.026	5755.101
169 7027.986	5746.22
170 7276.678	5750.66
171 7005.781	6168.109
172 7265.576	6174.77
173 6577.23	    6272.471
174 6310.774	6270.25;
