1 -4,74453333333334E+0001  1,61792000000000E+0001 0
2 -6,76543759237153E+0001  3,71323568596521E+0001 0
3 -9,18186666666667E+0001  3,70688000000000E+0001 0
4 -6,84703984765803E+0001  4,47485673530582E+0001 0
5 -9,23648000000000E+0001  4,53973333333334E+0001 0
6 -4,17109333333334E+0001  6,01429333333334E+0001 0
7 -6,05265299479167E+0001  7,98543294270834E+0001 0
8 -8,23978666666667E+0001  8,00768000000000E+0001 0
9 -5,90506666666667E+0001  8,84053333333334E+0001 0
10 -8,28074666666667E+0001  8,79957333333334E+0001 0
11 -1,12571733333333E+0002  2,71018666666667E+0001 0
12 -1,42882133333333E+0002  2,66922666666667E+0001 0
13 -1,44930133333333E+0002  4,55338666666667E+0001 0
14 -1,69657195031833E+0002  4,55645899059232E+0001 0
15 -1,70745225102319E+0002  5,26367853640860E+0001 0
16 -1,71833255172806E+0002  6,02529958574921E+0001 0
17 -1,45339733333333E+0002  6,09621333333334E+0001 0
18 -1,45476266666667E+0002  5,24970666666667E+0001 0
19 -1,40697600000000E+0002  7,99402666666667E+0001 0
20 -1,86026666666667E+0002  8,00768000000000E+0001 0
21 -1,91761066666667E+0002  2,42346666666667E+0001 0
22 -2,19600000000000E+0002  2,44000000000000E+0001 0
23 -2,63066666666667E+0002  2,49333333333333E+0001 0
24 -2,44649251302083E+0002  4,32332356770833E+0001 0
25 -2,44933333333333E+0002  5,18666666666667E+0001 0
26 -2,44933333333333E+0002  6,14666666666667E+0001 0
27 -2,72933333333333E+0002  6,12000000000000E+0001 0
28 -2,72666666666667E+0002  5,24000000000000E+0001 0
29 -2,73132324218750E+0002  4,32332356770833E+0001 0
30 -3,36400000000000E+0002  4,65333333333333E+0001 0
31 -3,36201985677083E+0002  5,54402669270833E+0001 0
32 -3,31333333333333E+0002  9,34666666666667E+0001 0
33 -3,31866666666667E+0002  1,02000000000000E+0002 0
34 -3,05200000000000E+0002  1,01733333333333E+0002 0
35 -3,04933333333333E+0002  9,40000000000000E+0001 0
36 -2,64666666666667E+0002  9,34666666666667E+0001 0
37 -2,55333333333333E+0002  8,09333333333334E+0001 0
38 -2,63066666666667E+0002  1,01466666666666E+0002 0
39 -2,16133333333333E+0002  1,01466666666666E+0002 0
40 -2,16133333333333E+0002  9,26666666666667E+0001 0
41 -1,77510579427083E+0002  1,03251139322916E+0002 0
42 -1,77510579427083E+0002  9,20613606770834E+0001 0
43 -1,50800000000000E+0002  9,34666666666667E+0001 0
44 -1,51062011718750E+0002  1,01216634114583E+0002 0
45 -5,86781278422010E+0001  1,02414161088847E+0002 0
46 -5,86781278422010E+0001  1,09486356547010E+0002 0
47 -8,49333333333334E+0001  1,09733333333333E+0002 0
48 -8,49405924479167E+0001  1,02233886718750E+0002 0
49 -1,93200000000000E+0002  1,15600000000000E+0002 0
50 -2,17200000000000E+0002  1,15866666666666E+0002 0
51 -2,62266666666667E+0002  1,15333333333333E+0002 0
52 -2,93200000000000E+0002  1,16133333333333E+0002 0
53 -3,42266666666667E+0002  1,14533333333333E+0002 0
54 -3,42000000000000E+0002  1,27066666666666E+0002 0
55 -5,32031250000000E+0002  5,13020833333333E+0001 0
56 -5,31510416666667E+0002  4,29687500000000E+0001 0
57 -5,56510416666667E+0002  4,29687500000000E+0001 0
58 -5,57552083333333E+0002  5,18229166666667E+0001 0
59 -5,96093750000000E+0002  3,15104166666667E+0001 0
60 -5,95572916666667E+0002  4,24479166666667E+0001 0
61 -5,96618652343750E+0002  5,13712565104167E+0001 0
62 -6,00781250000000E+0002  6,06770833333333E+0001 0
63 -6,44010416666667E+0002  4,19270833333333E+0001 0
64 -6,44010416666667E+0002  3,15104166666667E+0001 0
65 -6,72912597656250E+0002  3,00089518229167E+0001 0
66 -6,73191960479195E+0002  3,69780342272055E+0001 0
67 -7,01822916666667E+0002  2,83854166666667E+0001 0
68 -7,01302083333333E+0002  3,72395833333333E+0001 0
69 -7,01302083333333E+0002  4,66145833333333E+0001 0
70 -5,93489583333333E+0002  8,72395833333334E+0001 0
71 -5,92968750000000E+0002  9,71354166666667E+0001 0
72 -5,91927083333333E+0002  1,04947916666666E+0002 0
73 -5,91927083333333E+0002  1,13802083333333E+0002 0
74 -6,41406250000000E+0002  1,14843750000000E+0002 0
75 -6,41927083333333E+0002  1,04427083333333E+0002 0
76 -6,42447916666667E+0002  9,66145833333334E+0001 0
