param begin_PLACE   := 1;
param end_PLACE     := 168;
param begin_CLUSTER := 0;
param end_CLUSTER   := 17;
param begin_DIMENSION := 1;
param end_DIMENSION   := 2;
param instance      := 6;
  
param	Q:= 
0	1
1	3
2	3
3	4
4	4
5	6
6	7
7	7
8	7
9	8
10	9
11	9
12	11
13	11
14	12
15	12
16	13
17	41;
  
param :	x y :=  
1 474.453	    161.792
2 676.544	    371.324
3 918.187	    370.688
4 684.704	    447.486
5 923.648	    453.973
6 417.109	    601.429
7 605.265	    798.543
8 823.979	    800.768
9 590.507	    884.053
10 828.075	    879.957
11 1125.717	    271.019
12 1428.821	    266.923
13 1449.301	    455.339
14 1696.572	    455.646
15 1707.452	    526.368
16 1718.333	    602.53
17 1453.397	    609.621
18 1454.763	    524.971
19 1406.976	    799.403
20 1860.267	    800.768
21 1917.611	    242.347
22 2196	        244
23 2630.667	    249.333
24 2446.493	    432.332
25 2449.333	    518.667
26 2449.333	    614.667
27 2729.333	    612
28 2726.667	    524
29 2731.323	    432.332
30 3364	        465.333
31 3362.02	    554.403
32 3313.333	    934.667
33 3318.667	    1020
34 3052	        1017.333
35 3049.333	    940
36 2646.667	    934.667
37 2553.333	    809.333
38 2630.667	    1014.667
39 2161.333	    1014.667
40 2161.333	    926.667
41 1775.106	    1032.511
42 1775.106	    920.614
43 1508	        934.667
44 1510.62	    1012.166
45 586.781	    1024.142
46 586.781	    1094.864
47 849.333	    1097.333
48 849.406	    1022.339
49 1932	        1156
50 2172	        1158.667
51 2622.667	    1153.333
52 2932	        1161.333
53 3422.667	    1145.333
54 3420	        1270.667
55 5320.313	    513.021
56 5315.104	    429.688
57 5565.104	    429.688
58 5575.521	    518.229
59 5960.938	    315.104
60 5955.729	    424.479
61 5966.187	    513.713
62 6007.813	    606.771
63 6440.104	    419.271
64 6440.104	    315.104
65 6729.126	    300.09
66 6731.92	    369.78
67 7018.229	    283.854
68 7013.021	    372.396
69 7013.021	    466.146
70 5934.896	    872.396
71 5929.688	    971.354
72 5919.271	    1049.479
73 5919.271	    1138.021
74 6414.063	    1148.438
75 6419.271	    1044.271
76 6424.479	    966.146
77 6424.479	    872.396
78 6725.347	    908.733
79 6718.774	    1027.039
80 6716.146	    1127.604
81 6721.354	    1236.979
82 7132.813	    804.688
83 7153.646	    976.563
84 7132.813	    1164.063
85 705.729	    1268.229
86 945.313	    1257.813
87 7442.22	    826.009
88 7409.668	    996.908
89 7408.896	    1073.047
90 7678.373	    1073.047
91 7685.343	    981.649
92 7868.978	    829.862
93 7928.131	    994.176
94 7921.558	    1069.761
95 8194.321	    1073.047
96 8190.918	    996.908
97 8190.918	    801.595
98 8695.475	    817.871
99 8264.16	    606.283
100 8247.884	467.936
101 8247.884	386.556
102 8500.163	386.556
103 8516.439	476.074
104 9117.77	    159.457
105 9124.342	235.042
106 9390.532	156.171
107 9354.383	379.639
108 9104.625	386.212
109 9104.625	448.651
110 9347.81	    458.51
111 9640.291	843.007
112 9633.718	921.878
113 9321.52	    987.604
114 9314.947	1069.761
115 9037.272	1078.288
116 9045.41	    1192.22
117 9038.899	997.463
118 8677.406	994.176
119 8679.199	1086.426
120 9045.41	    1281.738
121 6297.451	5684.046
122 6552.805	5684.046
123 6301.892	5748.44
124 6552.805	5850.582
125 6304.112	5914.975
126 6548.364	5914.975
127 7021.324	5686.267
128 7278.442	5681.356
129 7030.206	5852.802
130 7276.678	5848.361
131 7030.206	5912.755
132 7276.678	5906.093
133 6312.994	6165.888
134 6312.994	6101.495
135 6572.789	6110.377
136 6572.789	6165.888
137 6319.656	6336.864
138 6583.892	6334.644
139 6999.119	6108.156
140 7274.458	6101.495
141 7001.34	    6270.25
142 7266.998	6275.177
143 7005.781	6336.864
144 7265.576	6341.305
145 7762.909	6275.177
146 7980.567	6274.691
147 7760.741	6347.967
148 7746.379	6088.257
149 7991.791	6084.442
150 7747.418	6165.888
151 7769.622	5932.739
152 7760.741	5861.684
153 7956.142	5861.684
154 7979.075	5931.854
155 8260.346	5859.463
156 8264.787	5934.959
157 8251.464	6085.951
158 7145.993	1040.185
159 9301.802	606.394
160 9650.149	616.252
161 6304.112	5852.802
162 6555.026	5755.101
163 7027.986	5746.22
164 7276.678	5750.66
165 7005.781	6168.109
166 7265.576	6174.77
167 6577.23	    6272.471
168 6310.774	6270.25
