param begin_PLACE   := 1;
param end_PLACE     := 168;
param begin_CLUSTER := 0;
param end_CLUSTER   := 17;
param instance      := 6;
  
param	Q:= 
0	1
1	3
2	3
3	4
4	4
5	6
6	7
7	7
8	7
9	8
10	9
11	9
12	11
13	11
14	12
15	12
16	13
17	41;
  
param :	x y :=  
1	-42.3651475172776  53.3690819373498
2	-102.886786827674  90.7824589655949
3	-132.597409761869  91.8828524076022
4	-175.512754000150  81.9793114295372
5	-208.524557260367  85.2804917555589
6	-241.536360520583  83.0797048715445
7	-59.9714425893930  128.195835993840
8	-89.6820655235877  127.095442551832
9	-59.9714425893930  159.006852370042
10	-88.5816720815805  160.107245812049
11	-41.2647540752704  208.524557260367
12	-130.396622877855  208.524557260367
13	-132.597409761869  184.315901536208
14	-131.497016319862  153.504885160006
15	-161.207639254056  155.705672044020
16	-163.408426138071  187.617081862230
17	-164.508819580078  206.323770376352
18	-222.829672006460  206.323770376352
19	-221.729278564453  185.416294978215
20	-221.729278564453  152.404491717999
21	-258.042262150691  152.404491717999
22	-256.941868708684  184.315901536208
23	-255.841475266677  207.424163818359
24	-315.262721135066  194.219442514273
25	-317.463508019081  159.006852370042
26	-490.225278414213  146.902524507963
27	-523.237081674429  148.002917949970
28	-489.124884972205  183.215508094201
29	-523.237081674429  182.115114652193
30	-554.048098050631  205.223376934345
31	-548.546130840595  175.512754000150
32	-560.650458702674  140.300163855919
33	-560.650458702674  117.191901573768
34	-594.762655404898  113.890721247746
35	-594.762655404898  136.998983529898
36	-659.685868483323  160.107245812049
37	-658.585475041316  133.697803203876
38	-623.372884897085  132.597409761869
39	-621.172098013071  95.1840327336238
40	-659.685868483323  92.9832458496094
41	-763.122852032001  129.296229435847
42	-799.435835618239  130.396622877855
43	-799.435835618239  170.010786790114
44	-762.022458589994  168.910393348107
45	-776.327573336088  203.022590050331
46	-874.262589674729  204.122983492338
47	-894.069671630859  203.022590050331
48	-877.563770000751  164.508819580078
49	-843.451573298527  164.508819580078
50	-844.551966740535  124.894655667818
51	-877.563770000751  124.894655667818
52	-845.652360182542  85.2804917555589
53	-879.764556884766  48.9675081693209
54	-845.652360182542  48.9675081693209
55	-50.0679016113281  274.548163780799
56	-80.8789179875300  277.849344106821
57	-47.8671147273137  313.061934251052
58	-84.1800983135517  311.961540809044
59	-48.9675081693209  352.676098163311
60	-84.1800983135517  352.676098163311
61	-86.3808851975661  390.089475191556
62	-51.1682950533353  386.788294865535
63	-59.9714425893930  444.008753849910
64	-94.0836392916166  442.908360407903
65	-134.798196645883  275.648557222806
66	-167.809999906100  276.748950664814
67	-231.632819542518  278.949737548828
68	-133.697803203876  319.664294903095
69	-168.910393348107  320.764688345102
70	-194.219442514273  319.664294903095
71	-134.798196645883  358.178065373347
72	-171.111180232121  361.479245699369
73	-195.319835956280  362.579639141376
74	-252.540294940655  321.865081787109
75	-249.239114614633  362.579639141376
76	-277.849344106821  321.865081787109
77	-277.849344106821  361.479245699369
78	-314.162327693059  321.865081787109
79	-313.061934251052  359.278458815354
80	-172.211573674129  409.896557147686
81	-208.524557260367  412.097344031701
82	-237.134786752554  409.896557147686
83	-278.949737548828  410.996950589693
84	-310.861147367037  406.595376821665
85	-311.961540809044  435.205606313852
86	-556.248884934645  395.591442401592
87	-556.248884934645  370.282393235427
88	-558.449671818660  332.869016207181
89	-557.349278376653  305.359180157001
90	-593.662261962891  303.158393272987
91	-593.662261962891  328.467442439153
92	-591.461475078876  369.181999793419
93	-592.561868520883  391.189868633564
94	-670.689802903395  282.250917874850
95	-622.272491455078  320.764688345102
96	-621.172098013071  361.479245699369
97	-670.689802903395  330.668229323167
98	-669.589409461388  365.880819467398
99	-622.272491455078  434.105212871845
100	-668.489016019381  403.294196495643
101	-697.099245511568  283.351311316857
102	-729.010655329777  284.451704758864
103	-769.725212684044  273.447770338792
104	-806.038196270282  278.949737548828
105	-895.170065072866  289.953671968900
106	-892.969278188852  327.367048997145
107	-687.195704533504  342.772557185246
108	-722.408294677734  340.571770301232
109	-687.195704533504  377.985147329477
110	-720.207507793720  379.085540771484
111	-735.613015981821  343.872950627254
112	-768.624819242037  341.672163743239
113	-770.825606126052  379.085540771484
114	-734.512622539814  376.884753887470
115	-812.640556922326  342.772557185246
116	-812.640556922326  382.386721097506
117	-835.748819204477  343.872950627254
118	-874.262589674729  343.872950627254
119	-873.162196232722  380.185934213492
120	-840.150392972506  380.185934213492
121	-847.853147066556  406.595376821665
122	-850.053933950571  448.410327617939
123	-250.463942400636  1451.56318945202
124	-307.942601298797  1450.47868645394
125	-249.379439402557  1504.70383635787
126	-305.773595302640  1504.70383635787
127	-249.379439402557  1548.08395628101
128	-304.689092304562  1546.99945328293
129	-247.210433406400  1602.30910618493
130	-304.689092304562  1600.14010018878
131	-362.167751202723  1453.73219544818
132	-361.083248204645  1510.12635134826
133	-418.561907102806  1451.56318945202
134	-418.561907102806  1506.87284235402
135	-418.561907102806  1545.91495028485
136	-362.167751202723  1548.08395628101
137	-418.561907102806  1602.30910618493
138	-474.956063002889  1553.50647127140
139	-522.674194918344  1553.50647127140
140	-553.040278864543  1552.42196827332
141	-478.209571997125  1613.15413616572
142	-527.012206910658  1613.15413616572
143	-553.040278864543  1613.15413616572
144	-249.379439402557  1695.57636401969
145	-307.942601298797  1694.49186102161
146	-249.379439402557  1753.05502291784
147	-309.027104296876  1753.05502291784
148	-251.548445398714  1792.09713084867
149	-309.027104296876  1789.92812485252
150	-251.548445398714  1850.66029274491
151	-312.280613291111  1847.40678375068
152	-358.914242208488  1849.57578974683
153	-357.829739210409  1792.09713084867
154	-359.998745206566  1751.97051991976
155	-357.829739210409  1696.66086701776
156	-418.561907102806  1693.40735802353
157	-416.392901106649  1751.97051991976
158	-416.392901106649  1789.92812485252
159	-417.477404104728  1848.49128674876
160	-476.040566000968  1853.91380173915
161	-477.125068999046  1795.35063984291
162	-527.012206910658  1794.26613684483
163	-525.927703912580  1853.91380173915
164	-527.012206910658  1746.54800492938
165	-470.618051010575  1747.63250792745
166	-472.787057006732  1686.90034003506
167	-528.096709908737  1684.73133403890
168	-551.955775866464  1685.81583703698;
