param begin_PLACE 	    := 1;
param end_PLACE         := 121;
param begin_CLUSTER     := 0;
param end_CLUSTER 	    := 17;
param begin_DIMENSION   := 1;
param end_DIMENSION     := 2;
param instance          := 3;
  
param	Q:= 
0	5
1	11
2	12
3	3
4	7
5	12
6	1
7	4
8	9
9	1
10	9
11	4
12	10
13	4
14	7
15	3
16	7
17  11;
  
param :	x y :=  
1 -2.79744466145833E+0001  6.05265299479167E+0001
2 -4.62849934895833E+0001  1.46993001302083E+0002
3 -7.78198242187500E+0001  1.45975748697917E+0002
4 -4.93367513020833E+0001  1.83614095052083E+0002
5 -7.88370768229166E+0001  1.86665852864583E+0002
6 -8.49405924479166E+0001  1.07320149739583E+0002
7 -1.23596191406250E+0002  1.06302897135416E+0002
8 -1.15458170572916E+0002  1.79545084635417E+0002
9 -1.48010253906250E+0002  1.80562337239583E+0002
10 -1.16475423177083E+0002  2.14131673177083E+0002
11 -1.51062011718750E+0002  2.14131673177083E+0002
12 -1.13423665364583E+0002  2.40580240885417E+0002
13 -1.48010253906250E+0002  2.37528483072917E+0002
14 -1.58182779947917E+0002  9.61303710937500E+0001
15 -1.92769368489583E+0002  9.71476236979166E+0001
16 -2.21252441406250E+0002  1.00199381510416E+0002
17 -2.03959147135417E+0002  1.77510579427083E+0002
18 -2.37528483072917E+0002  1.78527832031250E+0002
19 -2.07010904947917E+0002  2.13114420572917E+0002
20 -2.36511230468750E+0002  2.13114420572917E+0002
21 -2.08028157552083E+0002  2.42614746093750E+0002
22 -2.37528483072917E+0002  2.42614746093750E+0002
23 -4.11987304687500E+0001  3.20943196614583E+0002
24 -6.76472981770833E+0001  3.19925944010417E+0002
25 -4.01814778645833E+0001  3.56547037760417E+0002
26 -6.76472981770833E+0001  3.53495279947917E+0002
27 -4.11987304687500E+0001  4.07409667968750E+0002
28 -6.96818033854166E+0001  4.08426920572917E+0002
29 -4.01814778645833E+0001  4.38944498697917E+0002
30 -6.96818033854166E+0001  4.39961751302083E+0002
31 -4.93367513020833E+0001  5.04048665364583E+0002
32 -7.78198242187500E+0001  5.02014160156250E+0002
33 -1.20544433593750E+0002  3.18908691406250E+0002
34 -1.20544433593750E+0002  3.70788574218750E+0002
35 -1.53096516927083E+0002  3.70788574218750E+0002
36 -1.55131022135417E+0002  3.20943196614583E+0002
37 -1.21561686197916E+0002  4.07409667968750E+0002
38 -1.50044759114583E+0002  4.06392415364583E+0002
39 -1.60217285156250E+0002  4.64375813802083E+0002
40 -1.87683105468750E+0002  4.63358561197917E+0002
41 -1.83614095052083E+0002  4.08426920572917E+0002
42 -1.80562337239583E+0002  3.70788574218750E+0002
43 -2.17183430989583E+0002  3.21960449218750E+0002
44 -2.29390462239583E+0002  3.72823079427083E+0002
45 -2.28373209635417E+0002  4.08426920572917E+0002
46 -2.59908040364583E+0002  3.71805826822917E+0002
47 -2.88391113281250E+0002  3.72823079427083E+0002
48 -2.59908040364583E+0002  4.07409667968750E+0002
49 -2.89408365885417E+0002  4.10461425781250E+0002
50 -2.22269694010417E+0002  4.64375813802083E+0002
51 -2.55839029947917E+0002  4.64375813802083E+0002
52 -2.91442871093750E+0002  4.59289550781250E+0002
53 -2.94494628906250E+0002  5.00996907552083E+0002
54 -2.95511881510417E+0002  1.86665852864583E+0002
55 -2.92460123697917E+0002  2.21252441406250E+0002
56 -4.61324055989583E+0002  1.76493326822917E+0002
57 -4.92858886718750E+0002  1.74458821614583E+0002
58 -4.63358561197917E+0002  2.10062662760417E+0002
59 -4.90824381510417E+0002  2.10062662760417E+0002
60 -5.26428222656250E+0002  1.30716959635417E+0002
61 -5.26428222656250E+0002  1.68355305989583E+0002
62 -5.63049316406250E+0002  1.29699707031250E+0002
