param begin_PLACE 	:= 1;
param end_PLACE         := 350;
param begin_CLUSTER     := 0;
param end_CLUSTER 	:= 22;
param begin_DIMENSION   := 1;
param end_DIMENSION     := 2;
param instance          := 5;
  
param	Q:= 
0	6
1	7
2	8
3	8
4	9
5	9
6	10
7	10
8	10
9	10
10	11
11	11
12	11
13	11
14	12
15	12
16	12
17	12
18	13
19	14
20	15
21	29
22	100;
  
param :	x y :=  
1	200.2892	83.6651
2	241.9809	83.6651
3	201.9794	110.7084
4	241.4175	110.1450
5	102.8208	150.1465
6	102.2574	176.0630
7	143.9491	176.0630
8	143.3857	150.1465
9	200.8526	149.5831
10	241.9809	149.5831
11	241.9809	176.0630
12	200.8526	177.1898
13	358.6050	162.5413
14	398.6065	163.1047
15	359.1684	204.2330
16	398.6065	202.5428
17	102.2574	217.1913
18	144.5125	216.0645
19	103.3842	242.5443
20	143.9491	242.5443
21	201.9794	241.9809
22	201.9794	217.1913
23	241.9809	217.1913
24	243.1077	241.9809
25	457.2003	122.5398
26	457.2003	98.3136
27	497.2018	97.7502
28	555.2321	97.1867
29	595.7970	96.6233
30	595.2336	123.6666
31	554.6687	123.6666
32	456.6369	163.6681
33	497.7652	163.6681
34	555.2321	163.1047
35	595.7970	163.1047
36	359.1684	229.0227
37	398.6065	229.5861
38	456.6369	203.6696
39	497.7652	203.1062
40	555.2321	203.6696
41	595.7970	203.1062
42	596.9238	229.5861
43	555.7955	229.5861
44	497.2018	229.5861
45	456.6369	229.5861
46	555.2321	269.5876
47	595.2336	269.5876
48	457.2003	269.5876
49	497.7652	269.0242
50	399.1699	269.5876
51	359.1684	270.1510
52	103.3842	283.6726
53	143.9491	283.1092
54	202.5428	283.6726
55	242.5443	283.6726
56	359.1684	296.6309
57	398.0431	297.1943
58	456.6369	296.6309
59	496.0750	296.6309
60	555.7955	296.0675
61	595.2336	296.6309
62	712.4211	217.1913
63	712.4211	243.1077
64	713.5479	283.1092
65	103.8771	350.3653
66	143.3152	349.6610
67	202.4724	349.6610
68	241.9105	350.3653
69	359.5205	336.9845
70	398.9586	336.9845
71	398.9586	363.7461
72	359.5205	363.0418
73	458.1158	336.2802
74	498.2582	336.2802
75	498.2582	363.7461
76	457.4115	362.3376
77	556.0068	337.6887
78	595.4449	336.2802
79	596.1492	363.7461
80	555.3025	363.7461
81	713.0550	350.3653
82	752.4931	349.6610
83	811.6502	349.6610
84	849.6798	349.6610
85	851.0883	310.2229
86	810.9460	309.5187
87	810.9460	284.1656
88	850.3841	282.7571
89	850.3841	217.9659
90	850.3841	244.0232
91	810.9460	242.6147
92	810.9460	217.2617
93	751.7888	217.2617
94	752.4931	244.0232
95	712.3507	309.5187
96	752.4931	310.2229
97	753.1973	284.1656
98	711.7345	376.3346
99	752.2290	375.4542
100	810.3297	375.4542
101	850.8242	375.4542
102	496.3481	124.4913
103	104.6875	309.6231
104	203.0638	309.6231
105	241.7995	309.6231
106	104.6875	375.4123
107	144.0380	376.0271
108	202.4489	376.0271
109	242.4143	376.0271
110	359.2361	403.6955
111	399.2015	403.0806
112	458.2273	403.0806
113	497.5778	403.0806
114	555.9887	403.0806
115	595.9541	402.4658
116	104.6875	416.3768
117	143.8843	416.3768
118	202.2952	416.3768
119	241.4920	415.6082
120	241.4920	442.5080
121	202.2952	442.5080
122	143.8843	443.2765
123	103.9189	442.5080
124	359.0824	429.4424
125	399.0478	430.9795
126	456.6902	429.4424
127	497.4241	429.4424
128	555.0664	430.2109
129	595.8004	430.2109
130	712.6222	415.6082
131	751.8190	416.3768
132	810.9985	415.6082
133	850.1953	415.6082
134	850.1953	443.2765
135	810.9985	444.0451
136	752.5876	443.2765
137	712.6222	442.5080
138	103.6728	482.0862
139	142.2871	482.0862
140	201.6389	482.0862
141	241.6834	482.0862
142	242.3985	509.9744
143	202.3539	509.2593
144	143.7173	509.9744
145	103.6728	509.2593
146	359.6718	468.4997
147	399.7163	469.2148
148	359.6718	496.3879
149	399.0012	497.1029
150	458.3529	469.2148
151	457.6379	495.6728
152	497.6824	469.9299
153	497.6824	496.3879
154	556.3190	469.9299
155	555.6040	495.6728
156	595.6485	469.9299
157	595.6485	496.3879
158	712.9218	482.0862
159	752.2512	482.8013
160	812.3180	483.5164
161	850.9324	482.8013
162	850.9324	509.9744
163	811.6030	509.9744
164	752.9663	509.9744
165	712.9218	509.9744
166	713.6369	549.3038
167	752.9663	550.0189
168	752.9663	576.4769
169	712.9218	575.7618
170	811.6030	548.5888
171	850.2173	548.5888
172	850.2173	576.4769
173	810.8879	576.4769
174	103.6728	549.3038
175	103.6728	575.7618
176	144.4324	576.4769
177	143.7173	550.0189
178	201.6389	549.3038
179	242.3985	549.3038
180	243.1136	576.4769
181	203.0690	575.7618
182	595.6485	642.2644
183	594.9334	655.1358
184	712.9218	642.2644
185	752.2512	642.2644
186	752.9663	668.7224
187	712.2067	669.4375
188	811.6030	642.2644
189	810.8879	668.0073
190	810.8879	695.1804
191	810.8879	721.6384
192	752.9663	721.6384
193	713.6369	721.6384
194	712.2067	695.8955
195	752.9663	695.1804
196	103.6728	800.2973
197	103.6728	828.1854
198	143.7173	828.1854
199	143.7173	802.4425
200	202.3539	801.0124
201	241.6834	801.0124
202	242.3985	828.1854
203	202.3539	828.1854
204	359.6718	748.0964
205	399.0012	748.0964
206	399.0012	775.2694
207	358.9567	774.5544
208	358.9567	814.5989
209	399.0012	815.3140
210	457.6379	814.5989
211	496.9673	814.5989
212	496.9673	748.0964
213	458.3529	748.0964
214	458.3529	774.5544
215	496.9673	775.9845
216	556.3190	748.0964
217	594.9334	748.8114
218	596.3636	775.2694
219	555.6040	774.5544
220	556.3190	814.5989
221	594.9334	815.3140
222	712.9218	828.1854
223	752.9663	828.1854
224	811.6030	828.9005
225	850.2173	828.1854
226	851.6475	788.8560
227	810.1728	788.8560
228	752.9663	788.1409
229	712.2067	788.1409
230	712.9218	761.6829
231	752.9663	760.9678
232	812.3180	761.6829
233	851.6475	761.6829
234	103.4853	868.3317
235	144.3341	867.6509
236	202.2031	868.3317
237	241.6902	868.3317
238	360.1515	841.0992
239	398.9578	841.7800
240	458.1884	841.0992
241	496.9947	841.7800
242	556.2254	841.0992
243	595.0317	841.7800
244	712.1314	855.3963
245	752.9801	854.7154
246	810.1683	854.0346
247	851.0170	854.7154
248	851.0170	894.8834
249	850.3362	921.4350
250	810.8491	921.4350
251	810.8491	894.8834
252	752.2993	921.4350
253	751.6185	894.2025
254	712.8122	894.2025
255	711.4505	922.1158
256	596.3933	922.1158
257	595.0317	881.9479
258	556.2254	881.2671
259	555.5446	921.4350
260	497.6755	881.2671
261	457.5076	880.5863
262	457.5076	920.7542
263	497.6755	921.4350
264	398.9578	921.4350
265	398.9578	881.2671
266	359.4707	881.2671
267	359.4707	921.4350
268	242.3710	894.8834
269	202.8839	894.8834
270	143.6533	895.5642
271	104.1662	894.8834
272	103.4853	921.4350
273	144.3341	922.1158
274	202.2031	920.7542
275	243.0518	921.4350
276	103.4853	960.2413
277	144.3341	960.2413
278	104.1662	988.1546
279	143.6533	988.1546
280	202.2031	960.9221
281	243.0518	961.6029
282	242.3710	987.4738
283	202.2031	987.4738
284	360.1515	961.6029
285	398.9578	960.9221
286	359.4707	987.4738
287	398.9578	988.1546
288	457.5076	960.9221
289	457.5076	987.4738
290	497.6755	962.2838
291	497.6755	988.1546
292	555.5446	960.9221
293	555.5446	987.4738
294	595.7125	961.6029
295	595.7125	987.4738
296	712.8122	962.2838
297	712.1314	986.7930
298	752.2993	987.4738
299	752.2993	962.2838
300	811.5299	961.6029
301	850.3362	961.6029
302	851.0170	987.4738
