param begin_PLACE 	    := 1;
param end_PLACE         := 252;
param begin_CLUSTER     := 0;
param end_CLUSTER 	    := 14;
param begin_DIMENSION   := 1;
param end_DIMENSION     := 2;
param instance          := 7;
  
param	Q:= 
0	6
1	7
2	8
3	11
4	11
5	11
6	12
7	12
8	12
9	13
10	14
11	21
12	25
13	38
14	51;
  
param :	x y :=  
1	555.2321	269.5876
2	595.2336	269.5876
3	457.2003	269.5876
4	497.7652	269.0242
5	399.1699	269.5876
6	359.1684	270.1510
7	359.1684	296.6309
8	398.0431	297.1943
9	456.6369	296.6309
10	496.0750	296.6309
11	555.7955	296.0675
12	595.2336	296.6309
13	713.5479	283.1092
14	359.5205	336.9845
15	398.9586	336.9845
16	398.9586	363.7461
17	359.5205	363.0418
18	458.1158	336.2802
19	498.2582	336.2802
20	498.2582	363.7461
21	457.4115	362.3376
22	556.0068	337.6887
23	595.4449	336.2802
24	596.1492	363.7461
25	555.3025	363.7461
26	713.0550	350.3653
27	752.4931	349.6610
28	811.6502	349.6610
29	849.6798	349.6610
30	712.3507	309.5187
31	752.4931	310.2229
32	753.1973	284.1656
33	711.7345	376.3346
34	752.2290	375.4542
35	810.3297	375.4542
36	850.8242	375.4542
37	359.2361	403.6955
38	399.2015	403.0806
39	458.2273	403.0806
40	497.5778	403.0806
41	555.9887	403.0806
42	595.9541	402.4658
43	359.0824	429.4424
44	399.0478	430.9795
45	456.6902	429.4424
46	497.4241	429.4424
47	555.0664	430.2109
48	595.8004	430.2109
49	712.6222	415.6082
50	751.8190	416.3768
51	810.9985	415.6082
52	850.1953	415.6082
53	850.1953	443.2765
54	810.9985	444.0451
55	752.5876	443.2765
56	712.6222	442.5080
57	359.6718	468.4997
58	399.7163	469.2148
59	359.6718	496.3879
60	399.0012	497.1029
61	458.3529	469.2148
62	457.6379	495.6728
63	497.6824	469.9299
64	497.6824	496.3879
65	556.3190	469.9299
66	555.6040	495.6728
67	595.6485	469.9299
68	595.6485	496.3879
69	712.9218	482.0862
70	752.2512	482.8013
71	812.3180	483.5164
72	850.9324	482.8013
73	850.9324	509.9744
74	811.6030	509.9744
75	752.9663	509.9744
76	712.9218	509.9744
77	713.6369	549.3038
78	752.9663	550.0189
79	752.9663	576.4769
80	712.9218	575.7618
81	811.6030	548.5888
82	850.2173	548.5888
83	850.2173	576.4769
84	810.8879	576.4769
85	595.6485	642.2644
86	594.9334	655.1358
87	712.9218	642.2644
88	752.2512	642.2644
89	752.9663	668.7224
90	712.2067	669.4375
91	811.6030	642.2644
92	810.8879	668.0073
93	810.8879	695.1804
94	810.8879	721.6384
95	752.9663	721.6384
96	713.6369	721.6384
97	712.2067	695.8955
98	752.9663	695.1804
99	103.6728	800.2973
100	103.6728	828.1854
101	143.7173	828.1854
102	143.7173	802.4425
103	202.3539	801.0124
104	241.6834	801.0124
105	242.3985	828.1854
106	202.3539	828.1854
107	359.6718	748.0964
108	399.0012	748.0964
109	399.0012	775.2694
110	358.9567	774.5544
111	358.9567	814.5989
112	399.0012	815.3140
113	457.6379	814.5989
114	496.9673	814.5989
115	496.9673	748.0964
116	458.3529	748.0964
117	458.3529	774.5544
118	496.9673	775.9845
119	556.3190	748.0964
120	594.9334	748.8114
121	596.3636	775.2694
122	555.6040	774.5544
123	556.3190	814.5989
124	594.9334	815.3140
125	712.9218	828.1854
126	752.9663	828.1854
127	811.6030	828.9005
128	850.2173	828.1854
129	851.6475	788.8560
130	810.1728	788.8560
131	752.9663	788.1409
132	712.2067	788.1409
133	712.9218	761.6829
134	752.9663	760.9678
135	812.3180	761.6829
136	851.6475	761.6829
137	103.4853	868.3317
138	144.3341	867.6509
139	202.2031	868.3317
140	241.6902	868.3317
141	360.1515	841.0992
142	398.9578	841.7800
143	458.1884	841.0992
144	496.9947	841.7800
145	556.2254	841.0992
146	595.0317	841.7800
147	712.1314	855.3963
148	752.9801	854.7154
149	810.1683	854.0346
150	851.0170	854.7154
151	851.0170	894.8834
152	850.3362	921.4350
153	810.8491	921.4350
154	810.8491	894.8834
155	752.2993	921.4350
156	751.6185	894.2025
157	712.8122	894.2025
158	711.4505	922.1158
159	596.3933	922.1158
160	595.0317	881.9479
161	556.2254	881.2671
162	555.5446	921.4350
163	497.6755	881.2671
164	457.5076	880.5863
165	457.5076	920.7542
166	497.6755	921.4350
167	398.9578	921.4350
168	398.9578	881.2671
169	359.4707	881.2671
170	359.4707	921.4350
171	242.3710	894.8834
172	202.8839	894.8834
173	143.6533	895.5642
174	104.1662	894.8834
175	103.4853	921.4350
176	144.3341	922.1158
177	202.2031	920.7542
178	243.0518	921.4350
179	103.4853	960.2413
180	144.3341	960.2413
181	104.1662	988.1546
182	143.6533	988.1546
183	202.2031	960.9221
184	243.0518	961.6029
185	242.3710	987.4738
186	202.2031	987.4738
187	360.1515	961.6029
188	398.9578	960.9221
189	359.4707	987.4738
190	398.9578	988.1546
191	457.5076	960.9221
192	457.5076	987.4738
193	497.6755	962.2838
194	497.6755	988.1546
195	555.5446	960.9221
196	555.5446	987.4738
197	595.7125	961.6029
198	595.7125	987.4738
199	712.8122	962.2838
200	712.1314	986.7930
201	752.2993	987.4738
202	752.2993	962.2838
203	811.5299	961.6029
204	850.3362	961.6029
205	851.0170	987.4738
206	810.8491	988.1546
207	104.8470	1028.3225
208	143.6533	1026.9609
209	202.2031	1027.6417
210	241.6902	1028.3225
